ID,Gender,AMB,AccountSince,RelationshipSize,AvgMonthlyTxn,DematAccounts,FD_Nos,MF_nos,Equity_mfs,Debt_mfs,Balanced_Funds,ELSS,PMS_accounts,Trading_Accounts,Speciality_funds,Gold_Fund
25,1,297,22,2,14,0,1,1,0,0,0,0,0,0,0,0
46,1,138,56,7,22,2,1,2,0,1,0,1,1,0,0,0
47,1,228,2,1,2,0,0,0,0,0,0,0,0,0,0,0
61,1,190,16,1,16,0,0,0,0,0,0,1,0,0,0,0
79,1,187,14,1,14,1,0,0,0,0,0,0,0,0,0,0
81,1,252,10,1,10,0,0,0,0,0,0,0,0,0,0,0
90,1,240,20,3,6,0,0,1,0,0,0,0,0,0,0,0
100,0,320,18,3,2,0,0,0,0,0,1,0,0,0,0,1
112,0,135,14,1,14,1,0,0,0,0,0,0,0,0,0,0
121,1,256,58,9,14,2,0,3,0,1,1,2,1,1,1,0
125,1,226,28,6,14,2,1,2,0,0,1,0,1,0,0,0
145,1,393,50,11,12,3,0,2,0,0,2,3,0,0,0,1
169,1,243,10,1,10,0,0,0,0,0,0,0,0,0,0,0
193,1,63,4,1,4,0,0,0,0,0,0,0,0,0,0,0
201,1,57,2,1,2,0,0,0,0,0,0,0,0,0,0,0
202,0,260,74,11,34,0,2,3,5,0,1,0,0,0,0,0
224,1,33,12,1,12,0,0,0,0,0,0,0,0,0,0,0
225,1,172,16,1,16,0,0,0,0,1,0,0,0,0,0,0
256,1,133,36,2,32,1,0,1,0,0,0,0,1,0,0,0
263,0,32,14,1,14,0,0,0,0,0,1,0,0,0,0,0
267,1,242,32,5,10,0,0,2,0,1,1,0,0,0,0,0
275,1,78,10,2,6,0,0,0,0,0,0,0,0,0,0,0
277,1,223,44,7,16,2,1,1,1,0,2,0,1,0,1,0
282,1,285,52,11,14,2,0,3,4,0,1,1,1,0,0,0
330,0,211,44,11,6,3,2,2,0,0,2,1,2,0,1,0
333,1,280,34,2,30,0,1,1,0,0,0,0,1,0,0,0
345,1,234,10,2,4,0,0,0,0,0,0,0,0,0,0,0
354,0,49,32,3,22,0,0,1,1,0,1,0,0,0,0,0
356,0,189,68,9,16,1,0,1,3,1,1,2,0,0,0,0
391,1,143,38,9,14,2,2,1,1,1,2,0,0,0,0,0
397,1,254,12,2,8,0,0,0,0,0,0,0,0,0,0,0
401,1,355,28,5,16,1,0,2,0,1,1,0,0,0,0,0
405,0,43,26,2,24,1,0,0,0,0,1,0,0,0,0,0
411,1,210,20,3,2,0,1,0,0,0,0,1,0,0,0,0
436,0,310,32,5,22,1,1,0,1,0,2,0,0,0,0,0
438,1,378,50,7,10,0,1,1,1,0,2,1,0,0,0,0
439,0,305,40,9,6,2,1,1,1,0,2,1,0,0,0,0
440,1,458,44,12,10,1,0,3,1,1,2,0,2,1,1,1
450,1,148,30,3,22,1,0,2,0,0,0,0,0,0,0,0
453,1,154,46,7,10,0,1,0,1,0,1,3,0,0,0,1
477,0,123,16,2,12,1,0,0,0,0,0,0,0,0,0,1
480,1,118,10,2,8,0,0,0,0,0,0,0,0,0,0,0
484,1,329,36,8,12,0,1,0,0,1,0,1,0,0,0,0
553,1,126,48,8,16,2,1,1,2,0,0,2,1,0,0,0
565,0,294,20,3,10,0,1,0,0,1,0,0,0,0,0,0
567,1,135,60,8,16,3,1,0,1,0,2,1,0,0,2,0
579,0,230,14,2,10,1,0,0,0,0,0,0,0,0,0,0
585,1,307,46,9,24,3,2,0,2,2,0,0,0,0,0,0
592,1,201,8,1,8,0,0,0,0,0,0,0,0,0,0,0
594,1,193,20,2,16,1,0,0,0,0,1,0,0,0,0,0
612,0,277,14,1,14,0,0,1,0,0,0,0,0,0,0,0
619,1,49,14,2,10,0,0,0,1,0,0,0,0,0,0,0
625,1,149,18,3,6,0,0,0,0,1,0,0,0,0,0,0
633,1,294,30,2,24,0,0,1,0,1,0,0,0,0,0,0
644,1,302,20,5,6,0,0,1,0,0,1,0,0,0,0,0
649,1,138,22,1,22,1,0,0,0,0,0,0,0,0,0,0
650,1,195,16,2,12,0,0,0,0,1,0,0,0,0,0,0
658,1,101,22,2,16,0,0,2,0,0,0,0,0,0,0,0
706,1,128,16,2,10,1,0,0,0,0,0,0,0,0,0,0
721,1,292,40,2,32,0,0,0,1,0,1,0,0,0,1,0
723,1,215,36,8,2,0,0,0,0,1,3,2,0,0,0,1
743,1,240,20,1,20,1,0,0,0,0,0,0,0,0,0,0
761,1,141,10,1,10,0,0,0,0,0,0,0,0,0,0,0
764,0,253,2,1,2,0,0,0,0,0,0,0,0,0,0,0
775,1,258,36,5,14,0,0,4,0,1,0,0,0,0,0,0
800,1,240,12,1,12,0,0,0,0,0,0,0,0,0,0,0
803,0,187,30,7,10,0,1,1,0,0,1,2,0,0,0,1
808,0,271,18,2,10,1,0,0,0,0,0,0,0,0,0,0
844,1,288,22,1,22,0,0,1,0,0,0,0,0,0,0,0
883,1,182,34,10,4,2,2,0,1,0,0,1,0,0,0,0
903,0,64,8,2,6,0,0,0,0,0,0,0,0,0,0,0
910,0,95,2,1,2,0,0,0,0,0,0,0,0,0,0,0
915,1,308,16,1,16,0,0,1,0,0,0,0,0,0,0,0
940,1,224,32,2,28,0,0,0,1,0,1,0,0,0,1,0
950,1,75,14,1,14,0,1,0,0,0,0,0,0,0,0,0
966,1,266,30,6,2,1,1,0,0,0,1,1,0,0,0,0
999,1,419,48,8,14,1,1,4,1,0,0,1,0,0,0,0
1010,1,31,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1012,1,268,18,2,14,1,0,0,0,0,1,0,0,0,0,0
1048,1,189,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1076,0,139,34,2,30,0,0,1,0,1,0,0,0,1,0,0
1087,1,60,34,1,34,0,0,0,0,1,0,0,0,0,0,0
1088,0,98,16,2,12,1,0,0,0,0,0,0,0,0,0,0
1093,1,263,58,8,12,1,1,3,0,0,1,1,0,0,0,0
1101,1,257,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1103,1,205,6,2,4,0,0,0,0,0,0,0,0,0,0,0
1121,1,122,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1123,1,363,28,12,2,0,1,2,1,0,1,1,1,0,0,0
1131,1,302,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1138,1,51,12,2,4,0,0,0,0,0,0,0,0,0,0,0
1149,1,136,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1160,1,64,32,1,32,0,0,0,0,0,0,1,0,0,0,0
1169,1,265,16,1,16,0,0,1,0,0,0,0,0,0,0,0
1172,1,216,20,2,14,1,0,1,0,0,0,0,0,0,0,0
1185,1,283,46,9,14,1,2,3,0,2,0,1,2,1,0,0
1222,1,307,60,5,36,1,0,2,0,0,0,2,1,0,0,0
1230,1,359,48,9,18,1,0,3,2,0,2,1,0,0,0,0
1248,1,246,18,1,18,0,0,0,1,0,0,0,0,0,0,0
1253,0,285,14,2,12,1,0,0,0,0,0,0,0,0,0,0
1261,1,157,26,1,26,1,0,0,0,0,0,0,0,0,0,0
1263,1,120,24,5,8,0,0,0,2,0,0,0,0,0,0,0
1283,1,217,20,2,14,1,0,0,0,1,0,0,0,0,0,0
1300,1,200,30,9,4,2,2,1,0,2,0,0,0,0,0,0
1319,1,309,40,11,4,1,1,2,2,0,0,1,1,0,0,0
1333,1,66,20,2,12,0,0,1,0,0,0,0,0,0,0,0
1353,1,224,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1366,1,143,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1371,1,295,40,2,32,2,0,0,0,0,0,0,0,0,0,0
1394,1,275,62,10,8,1,1,1,2,1,2,0,1,1,2,0
1411,0,201,54,6,34,3,1,0,0,1,0,1,0,0,0,0
1442,1,149,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1455,1,364,54,8,14,2,2,2,0,0,1,1,1,0,0,0
1486,1,229,12,2,8,0,0,0,0,0,0,0,0,0,0,0
1494,1,227,42,9,2,1,0,0,1,0,2,0,0,0,0,0
1496,1,246,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1505,1,43,16,2,10,1,0,0,0,0,0,0,0,0,0,0
1515,1,158,14,2,12,0,1,0,0,0,0,0,0,0,0,0
1518,0,327,24,2,16,0,0,0,1,0,0,1,0,0,0,0
1521,1,164,16,3,2,1,0,0,0,0,0,0,0,0,0,1
1526,0,158,56,9,6,1,1,1,1,1,0,3,0,0,0,1
1529,0,206,16,2,10,1,0,0,0,0,0,0,0,0,0,0
1530,1,319,10,2,4,0,0,0,0,0,0,0,0,0,0,0
1543,1,295,14,2,6,0,0,1,0,0,0,0,0,0,0,0
1552,1,178,14,1,14,0,1,0,0,0,0,0,0,0,0,0
1610,0,391,48,9,8,1,1,2,1,3,0,0,0,0,0,0
1641,0,88,22,2,18,1,0,0,0,1,0,0,0,0,0,0
1652,1,97,10,2,2,0,0,0,0,0,0,0,0,0,0,0
1671,0,250,36,12,12,1,1,3,2,1,3,0,1,1,1,1
1685,1,273,20,2,14,0,0,0,1,0,1,0,0,0,0,0
1705,0,271,14,2,12,0,1,0,0,0,0,0,0,0,0,0
1740,0,24,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1748,1,203,18,1,18,0,0,1,0,0,0,0,0,0,0,0
1766,0,164,24,3,12,0,1,1,0,0,0,0,0,0,0,0
1784,1,32,12,1,12,0,0,0,0,0,0,0,0,0,0,0
